Team,Season,W,L,ORtg,DRtg,NRtg,Pace,FTr,ThreePAr,TS_Pct,MadePlayoffs
Utah Jazz,2021,52.0,20.0,117.6,108.3,9.3,98.5,0.244,0.488,0.597,1
Los Angeles Clippers,2021,47.0,25.0,117.6,111.2,6.4,96.9,0.222,0.4,0.599,1
Phoenix Suns,2021,51.0,21.0,117.2,111.3,5.9,97.2,0.212,0.392,0.597,1
Milwaukee Bucks,2021,46.0,26.0,117.2,111.4,5.8,102.2,0.233,0.404,0.593,1
Philadelphia 76ers,2021,49.0,23.0,113.2,107.6,5.6,99.5,0.293,0.347,0.579,1
Denver Nuggets,2021,47.0,25.0,117.1,112.1,5.0,97.1,0.219,0.383,0.588,1
Brooklyn Nets,2021,48.0,24.0,118.3,113.8,4.5,99.5,0.258,0.413,0.61,1
Los Angeles Lakers,2021,42.0,30.0,109.9,107.1,2.8,98.7,0.271,0.363,0.569,1
Dallas Mavericks,2021,42.0,30.0,115.4,113.0,2.4,97.3,0.242,0.436,0.582,1
New York Knicks,2021,41.0,31.0,110.6,108.2,2.4,95.9,0.242,0.347,0.559,1
Atlanta Hawks,2021,41.0,31.0,115.7,113.3,2.4,97.6,0.278,0.382,0.581,1
Portland Trail Blazers,2021,42.0,30.0,117.8,116.0,1.8,98.4,0.238,0.448,0.577,1
Boston Celtics,2021,36.0,36.0,114.0,112.5,1.5,98.3,0.234,0.409,0.574,1
Golden State Warriors,2021,39.0,33.0,111.1,110.1,1.0,102.2,0.239,0.439,0.583,0
Memphis Grizzlies,2021,38.0,34.0,112.0,111.0,1.0,100.4,0.232,0.342,0.56,1
Miami Heat,2021,40.0,32.0,111.2,111.2,0.0,96.6,0.252,0.432,0.581,1
Indiana Pacers,2021,34.0,38.0,112.4,112.4,0.0,101.6,0.227,0.372,0.575,0
New Orleans Pelicans,2021,31.0,41.0,113.5,113.8,-0.3,100.1,0.293,0.342,0.57,0
Toronto Raptors,2021,27.0,45.0,112.0,112.5,-0.5,99.2,0.241,0.444,0.567,0
Chicago Bulls,2021,31.0,41.0,111.1,112.0,-0.9,99.0,0.197,0.383,0.575,0
San Antonio Spurs,2021,33.0,39.0,111.0,112.8,-1.8,98.9,0.243,0.314,0.554,0
Washington Wizards,2021,34.0,38.0,111.2,113.0,-1.8,104.1,0.288,0.319,0.569,1
Charlotte Hornets,2021,33.0,39.0,110.9,112.8,-1.9,98.3,0.238,0.422,0.564,0
Sacramento Kings,2021,31.0,41.0,113.6,117.2,-3.6,100.0,0.248,0.376,0.578,0
Detroit Pistons,2021,20.0,52.0,108.0,112.5,-4.5,97.9,0.273,0.385,0.556,0
Minnesota Timberwolves,2021,23.0,49.0,109.5,115.0,-5.5,101.6,0.254,0.413,0.555,0
Houston Rockets,2021,17.0,55.0,107.1,114.9,-7.8,101.4,0.252,0.459,0.553,0
Cleveland Cavaliers,2021,22.0,50.0,105.8,114.4,-8.6,97.3,0.261,0.347,0.543,0
Orlando Magic,2021,21.0,51.0,105.1,114.5,-9.4,98.7,0.24,0.356,0.527,0
Oklahoma City Thunder,2021,22.0,50.0,103.5,114.0,-10.5,101.0,0.242,0.399,0.539,0
Boston Celtics,2022,51.0,31.0,114.4,106.9,7.5,96.6,0.239,0.425,0.578,1
Phoenix Suns,2022,64.0,18.0,114.8,107.3,7.5,99.8,0.221,0.354,0.581,1
Utah Jazz,2022,49.0,33.0,116.7,110.5,6.2,97.1,0.271,0.468,0.589,1
Memphis Grizzlies,2022,56.0,26.0,114.6,109.0,5.6,100.3,0.245,0.346,0.553,1
Golden State Warriors,2022,53.0,29.0,112.5,106.9,5.6,98.4,0.235,0.456,0.582,1
Miami Heat,2022,53.0,29.0,113.7,109.1,4.6,95.9,0.252,0.422,0.584,1
Dallas Mavericks,2022,52.0,30.0,112.8,109.4,3.4,95.4,0.249,0.439,0.572,1
Milwaukee Bucks,2022,51.0,31.0,115.1,111.8,3.3,99.9,0.257,0.43,0.58,1
Philadelphia 76ers,2022,51.0,31.0,113.5,110.8,2.7,96.2,0.282,0.376,0.578,1
Minnesota Timberwolves,2022,46.0,36.0,114.3,111.7,2.6,100.9,0.254,0.454,0.573,1
Denver Nuggets,2022,48.0,34.0,114.5,112.1,2.4,97.8,0.244,0.416,0.59,1
Toronto Raptors,2022,48.0,34.0,112.9,110.5,2.4,96.0,0.234,0.375,0.543,1
Cleveland Cavaliers,2022,44.0,38.0,111.9,109.7,2.2,96.1,0.261,0.387,0.571,0
Atlanta Hawks,2022,43.0,39.0,116.5,114.9,1.6,97.7,0.253,0.39,0.581,1
Brooklyn Nets,2022,44.0,38.0,113.6,112.8,0.8,99.0,0.246,0.359,0.576,1
Charlotte Hornets,2022,43.0,39.0,114.1,113.7,0.4,100.0,0.234,0.418,0.572,0
San Antonio Spurs,2022,34.0,48.0,112.4,112.3,0.1,100.0,0.22,0.345,0.556,0
Los Angeles Clippers,2022,42.0,40.0,110.1,110.1,0.0,98.0,0.224,0.391,0.564,0
New York Knicks,2022,37.0,45.0,110.4,110.5,-0.1,95.9,0.28,0.428,0.55,0
Chicago Bulls,2022,46.0,36.0,113.2,113.6,-0.4,98.3,0.248,0.332,0.579,1
New Orleans Pelicans,2022,36.0,46.0,112.0,113.0,-1.0,97.2,0.264,0.365,0.557,1
Los Angeles Lakers,2022,33.0,49.0,110.3,113.3,-3.0,100.1,0.259,0.388,0.567,0
Washington Wizards,2022,35.0,47.0,111.1,114.5,-3.4,97.0,0.252,0.356,0.568,0
Indiana Pacers,2022,25.0,57.0,112.6,116.1,-3.5,98.0,0.239,0.395,0.564,0
Sacramento Kings,2022,30.0,52.0,109.9,115.3,-5.4,99.8,0.264,0.377,0.561,0
Detroit Pistons,2022,23.0,59.0,106.0,113.8,-7.8,98.4,0.249,0.391,0.533,0
Orlando Magic,2022,22.0,60.0,104.5,112.5,-8.0,99.2,0.223,0.417,0.538,0
Oklahoma City Thunder,2022,24.0,58.0,104.6,112.8,-8.2,98.6,0.223,0.419,0.53,0
Houston Rockets,2022,20.0,62.0,108.4,116.7,-8.3,100.9,0.284,0.448,0.565,0
Portland Trail Blazers,2022,27.0,55.0,107.8,116.9,-9.1,98.3,0.248,0.422,0.55,0
Boston Celtics,2023,57.0,25.0,118.0,111.5,6.5,98.5,0.243,0.48,0.6,1
Cleveland Cavaliers,2023,51.0,31.0,116.1,110.6,5.5,95.7,0.264,0.371,0.59,1
Philadelphia 76ers,2023,54.0,28.0,117.7,113.3,4.4,96.9,0.3,0.389,0.608,1
Memphis Grizzlies,2023,51.0,31.0,115.1,111.2,3.9,101.1,0.259,0.372,0.57,1
Milwaukee Bucks,2023,58.0,24.0,115.4,111.9,3.5,100.5,0.248,0.446,0.583,1
Denver Nuggets,2023,53.0,29.0,117.6,114.2,3.4,98.1,0.259,0.361,0.601,1
New York Knicks,2023,47.0,35.0,117.8,114.8,3.0,97.1,0.285,0.4,0.577,1
Sacramento Kings,2023,48.0,34.0,119.4,116.8,2.6,100.3,0.284,0.423,0.608,1
Phoenix Suns,2023,45.0,37.0,115.1,113.0,2.1,98.2,0.241,0.362,0.57,1
New Orleans Pelicans,2023,42.0,40.0,114.4,112.5,1.9,99.1,0.279,0.344,0.582,0
Golden State Warriors,2023,44.0,38.0,116.1,114.4,1.7,101.6,0.224,0.479,0.6,1
Toronto Raptors,2023,41.0,41.0,115.5,114.0,1.5,97.1,0.257,0.351,0.555,0
Chicago Bulls,2023,40.0,42.0,113.5,112.2,1.3,98.5,0.251,0.333,0.587,0
Oklahoma City Thunder,2023,40.0,42.0,115.2,114.2,1.0,101.1,0.256,0.369,0.57,0
Brooklyn Nets,2023,45.0,37.0,115.0,114.1,0.9,98.3,0.26,0.397,0.598,1
Los Angeles Lakers,2023,43.0,39.0,114.5,113.9,0.6,101.3,0.299,0.351,0.582,1
Los Angeles Clippers,2023,44.0,38.0,115.0,114.5,0.5,98.0,0.278,0.387,0.588,1
Atlanta Hawks,2023,41.0,41.0,116.6,116.3,0.3,100.7,0.244,0.331,0.579,1
Dallas Mavericks,2023,38.0,44.0,116.8,116.7,0.1,96.6,0.298,0.487,0.599,0
Minnesota Timberwolves,2023,42.0,40.0,113.7,113.8,-0.1,101.0,0.271,0.381,0.592,1
Miami Heat,2023,44.0,38.0,113.0,113.3,-0.3,96.3,0.27,0.408,0.574,1
Utah Jazz,2023,37.0,45.0,115.8,116.7,-0.9,100.5,0.265,0.421,0.584,0
Washington Wizards,2023,35.0,47.0,114.4,115.6,-1.2,98.6,0.258,0.365,0.585,0
Orlando Magic,2023,34.0,48.0,111.6,114.2,-2.6,99.3,0.29,0.361,0.573,0
Indiana Pacers,2023,35.0,47.0,114.6,117.7,-3.1,101.1,0.265,0.413,0.581,0
Portland Trail Blazers,2023,33.0,49.0,114.8,118.8,-4.0,98.6,0.289,0.413,0.589,0
Charlotte Hornets,2023,27.0,55.0,109.2,115.3,-6.1,100.8,0.261,0.36,0.55,0
Houston Rockets,2023,22.0,60.0,111.4,119.3,-7.9,99.0,0.285,0.359,0.554,0
Detroit Pistons,2023,17.0,65.0,110.7,118.9,-8.2,99.0,0.295,0.372,0.561,0
San Antonio Spurs,2023,22.0,60.0,110.2,120.0,-9.8,101.6,0.229,0.348,0.554,0
Boston Celtics,2024,64.0,18.0,123.2,111.6,11.6,97.2,0.224,0.471,0.609,1
Oklahoma City Thunder,2024,57.0,25.0,119.5,112.1,7.4,99.8,0.24,0.383,0.608,1
Minnesota Timberwolves,2024,56.0,26.0,115.6,109.0,6.6,97.1,0.27,0.384,0.594,1
Denver Nuggets,2024,57.0,25.0,118.5,113.0,5.5,96.8,0.224,0.352,0.589,1
New York Knicks,2024,50.0,32.0,118.2,113.4,4.8,95.2,0.246,0.404,0.574,1
New Orleans Pelicans,2024,49.0,33.0,117.4,112.9,4.5,97.9,0.261,0.373,0.591,1
Los Angeles Clippers,2024,51.0,31.0,118.8,115.4,3.4,97.2,0.256,0.383,0.599,1
Philadelphia 76ers,2024,47.0,35.0,116.9,113.8,3.1,97.5,0.264,0.373,0.574,1
Phoenix Suns,2024,49.0,33.0,117.6,114.6,3.0,98.3,0.271,0.378,0.603,1
Indiana Pacers,2024,47.0,35.0,121.0,118.0,3.0,101.7,0.222,0.38,0.606,1
Golden State Warriors,2024,46.0,36.0,117.8,115.2,2.6,99.2,0.219,0.425,0.586,0
Milwaukee Bucks,2024,49.0,33.0,118.4,115.8,2.6,99.9,0.27,0.43,0.601,1
Cleveland Cavaliers,2024,48.0,34.0,115.2,112.7,2.5,97.2,0.234,0.422,0.586,1
Dallas Mavericks,2024,50.0,32.0,117.6,115.4,2.2,100.1,0.251,0.441,0.592,1
Orlando Magic,2024,47.0,35.0,113.4,111.3,2.1,96.9,0.287,0.369,0.577,1
Miami Heat,2024,46.0,36.0,114.0,112.2,1.8,96.2,0.257,0.394,0.578,1
Sacramento Kings,2024,46.0,36.0,116.9,115.2,1.7,98.8,0.229,0.432,0.582,0
Houston Rockets,2024,41.0,41.0,114.5,113.4,1.1,99.0,0.257,0.397,0.565,0
Los Angeles Lakers,2024,47.0,35.0,115.9,115.3,0.6,100.9,0.276,0.358,0.601,1
Chicago Bulls,2024,39.0,43.0,114.9,116.3,-1.4,96.3,0.236,0.358,0.568,0
Atlanta Hawks,2024,36.0,46.0,117.2,119.4,-2.2,100.1,0.251,0.408,0.576,0
Brooklyn Nets,2024,32.0,50.0,113.2,116.1,-2.9,96.9,0.234,0.412,0.561,0
Utah Jazz,2024,31.0,51.0,115.5,120.4,-4.9,99.5,0.251,0.406,0.579,0
San Antonio Spurs,2024,22.0,60.0,110.0,116.4,-6.4,101.1,0.22,0.401,0.563,0
Toronto Raptors,2024,25.0,57.0,112.3,118.8,-6.5,99.4,0.241,0.369,0.566,0
Memphis Grizzlies,2024,27.0,55.0,107.2,114.3,-7.1,98.2,0.238,0.428,0.543,0
Detroit Pistons,2024,14.0,68.0,109.7,118.8,-9.1,99.8,0.246,0.36,0.562,0
Washington Wizards,2024,15.0,67.0,110.5,119.6,-9.1,102.7,0.221,0.389,0.567,0
Portland Trail Blazers,2024,21.0,61.0,108.3,117.5,-9.2,97.2,0.228,0.37,0.539,0
Charlotte Hornets,2024,21.0,61.0,109.3,119.8,-10.5,97.3,0.212,0.391,0.56,0
Oklahoma City Thunder,2025,68.0,14.0,120.3,107.5,12.8,100.0,0.22,0.419,0.593,1
Boston Celtics,2025,61.0,21.0,120.6,111.1,9.5,95.7,0.212,0.536,0.591,1
Cleveland Cavaliers,2025,64.0,18.0,121.7,112.2,9.5,99.8,0.241,0.457,0.607,1
Minnesota Timberwolves,2025,49.0,33.0,116.6,111.5,5.1,97.3,0.249,0.455,0.588,1
Los Angeles Clippers,2025,50.0,32.0,115.1,110.3,4.8,97.5,0.251,0.387,0.589,1
Memphis Grizzlies,2025,48.0,34.0,117.7,113.0,4.7,103.3,0.249,0.406,0.588,1
Houston Rockets,2025,52.0,30.0,115.3,110.8,4.5,98.6,0.242,0.384,0.553,1
New York Knicks,2025,51.0,31.0,118.5,114.3,4.2,96.7,0.232,0.382,0.589,1
Denver Nuggets,2025,50.0,32.0,119.9,116.0,3.9,99.8,0.259,0.356,0.604,1
Golden State Warriors,2025,48.0,34.0,115.0,111.7,3.3,98.7,0.244,0.469,0.568,1
Milwaukee Bucks,2025,48.0,34.0,115.9,113.4,2.5,99.3,0.268,0.424,0.598,1
Indiana Pacers,2025,50.0,32.0,116.5,114.3,2.2,99.9,0.241,0.4,0.594,1
Detroit Pistons,2025,44.0,38.0,115.0,113.1,1.9,99.8,0.248,0.394,0.58,1
Los Angeles Lakers,2025,50.0,32.0,115.9,114.7,1.2,97.6,0.271,0.425,0.593,1
Miami Heat,2025,37.0,45.0,113.5,112.9,0.6,96.2,0.232,0.429,0.576,1
Sacramento Kings,2025,40.0,42.0,116.7,116.2,0.5,98.2,0.235,0.391,0.582,0
Orlando Magic,2025,41.0,41.0,109.4,109.6,-0.2,96.1,0.269,0.411,0.55,1
Atlanta Hawks,2025,40.0,42.0,114.6,115.7,-1.1,102.6,0.252,0.41,0.579,0
Dallas Mavericks,2025,39.0,43.0,114.8,116.0,-1.2,99.2,0.263,0.389,0.583,0
Chicago Bulls,2025,39.0,43.0,114.1,115.6,-1.5,102.8,0.214,0.457,0.585,0
San Antonio Spurs,2025,34.0,48.0,114.4,117.2,-2.8,99.3,0.234,0.441,0.575,0
Portland Trail Blazers,2025,36.0,46.0,111.7,114.7,-3.0,98.8,0.246,0.418,0.555,0
Phoenix Suns,2025,36.0,46.0,116.2,119.3,-3.1,97.1,0.241,0.44,0.595,0
Toronto Raptors,2025,30.0,52.0,110.5,114.8,-4.3,99.7,0.232,0.373,0.553,0
Philadelphia 76ers,2025,24.0,58.0,111.9,118.2,-6.3,97.4,0.257,0.426,0.563,0
Brooklyn Nets,2025,26.0,56.0,108.5,115.8,-7.3,96.4,0.24,0.458,0.552,0
Utah Jazz,2025,17.0,65.0,111.2,120.4,-9.2,100.0,0.252,0.449,0.568,0
Charlotte Hornets,2025,19.0,63.0,107.3,116.6,-9.3,97.6,0.222,0.43,0.537,0
New Orleans Pelicans,2025,21.0,61.0,110.4,119.9,-9.5,99.1,0.244,0.385,0.552,0
Washington Wizards,2025,18.0,64.0,106.8,119.1,-12.3,100.9,0.229,0.435,0.546,0
